Application_name,Benchmark_name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data_size,Base Clock (Ghz),Boost Clock (Ghz),Total Cores (#),Memory Size (GB),Memory bandwidth (GB/s),Performance (Single Precision) (GFLOPS),Instruction per cycle (#),Memory Speed (Ghz/Gbps),Execution Time in Seconds,System,System
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,6553600,3.4,4,32,4,34.1,870.4,32,2.133,0.0004749298,740_1_CPU_Execution_time,1
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,4194304,3.4,4,32,4,34.1,870.4,32,2.133,0.0005369186,740_1_CPU_Execution_time,1
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,1048576,3.4,4,32,4,34.1,870.4,32,2.133,0.000551939,740_1_CPU_Execution_time,1
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,1048576,0.993,1.003,384,2,28.8,762,2,1.8,0.0005710125,740_1_GPU_Execution_time,2
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,67108864,0.993,1.003,384,2,28.8,762,2,1.8,0.0005800724,740_1_GPU_Execution_time,2
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,4194304,0.993,1.003,384,2,28.8,762,2,1.8,0.0005970001,740_1_GPU_Execution_time,2
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,262144,0.993,1.003,384,2,28.8,762,2,1.8,0.0006089211,740_1_GPU_Execution_time,2
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,6553600,0.993,1.003,384,2,28.8,762,2,1.8,0.0006430149,740_1_GPU_Execution_time,2
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,67108864,3.4,4,32,4,34.1,870.4,32,2.133,0.000649929,740_1_CPU_Execution_time,1
BlackScholesDP ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,262144,3.4,4,32,4,34.1,870.4,32,2.133,0.0007328987,740_1_CPU_Execution_time,1
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.0200169086456,740_2_CPU_Execution_time,3
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0227649211884,740_2_GPU_Execution_time,4
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.0230438709259,740_2_CPU_Execution_time,3
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0239109992981,740_2_GPU_Execution_time,4
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0325419902802,740_2_GPU_Execution_time,4
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.0327589511871,740_2_CPU_Execution_time,3
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,75,0.993,1.003,384,2,28.8,762,2,1.8,0.0333080292,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0376889706,740_1_GPU_Execution_time,2
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0379002094,740_1_GPU_Execution_time,2
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0399971008,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,100,0.993,1.003,384,2,28.8,762,2,1.8,0.0400660038,740_1_GPU_Execution_time,2
